collection_id,source_type,source_name,source_url,license,license_url,creator,original_id,image_filename,mask_filename,animal_class,animal_common_name,animal_scientific_name,primary_camouflage,secondary_camouflage,environment,environment_detail,geographic_region,water_or_land,occlusion,object_scale,contrast_level,silhouette_quality,multiple_animals,hardness_level,annotation_status,qa_status,collection_status,split,group_id,notes
CAND-001,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Giant_Leaf_Insect_(Phyllium_giganteum)_(8757147425).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,Bernard DUPONT,File:Giant_Leaf_Insect_(Phyllium_giganteum)_(8757147425).jpg,,,UNKNOWN,giant leaf insect,Pulchriphyllium giganteum,foliage,texture;broken silhouette,jungle,Cameron Highlands foliage,Malaysia,land,none,UNKNOWN,low,broken,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-002,open_repository,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Phylliidae,_Leaf_insect_.jpg",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Renjusplace,"File:Phylliidae,_Leaf_insect_.jpg",,,UNKNOWN,leaf insect,UNKNOWN,foliage,texture,forest,Mundakkayam foliage,India,land,UNKNOWN,UNKNOWN,low,broken,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-003,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Butterfly_Camouflage.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,GabrielleMerk,File:Butterfly_Camouflage.jpg,,,UNKNOWN,silver-washed fritillary (valesina form),Argynnis paphia,foliage,low-contrast;texture,forest,Ticino forests Muggio Valley,Switzerland,land,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-004,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1_camouflaged_frog.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Lambtron,File:1_camouflaged_frog.jpg,,,UNKNOWN,frog,UNKNOWN,foliage,low-contrast;texture,pond,pond bank green vegetation,UNKNOWN,land,none,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-005,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_of_an_iguana_at_the_Parque_Nacional_do_Pantanal_Matogrossense.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Giovanna Colombi,File:Camouflage_of_an_iguana_at_the_Parque_Nacional_do_Pantanal_Matogrossense.jpg,,,UNKNOWN,green iguana,Iguana iguana,foliage,branch;partial occlusion,wetland,iguana among tree branches Pantanal,Brazil,land,partial,UNKNOWN,low,disrupted,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-006,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fowlers_Toad_-_side_view.jpg,Public Domain (USGS/NBII),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,John J. Mosesso / NBII,NBII-72967 / File:Fowlers_Toad_-_side_view.jpg,,,UNKNOWN,Fowler's toad,Anaxyrus fowleri,foliage,texture;low-contrast,woodland,decaying leaf litter,USA,land,none,UNKNOWN,low,UNKNOWN,no,MODERATE,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-007,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_d%E2%80%99Ambre_3.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Charles J. Sharp,File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_dAmbre_3.jpg,,,UNKNOWN,mossy leaf-tailed gecko,Uroplatus sikorae,bark,texture;broken silhouette;foliage,forest,Montagne d Ambre mossy bark/dermal flaps,Madagascar,land,none,UNKNOWN,low,broken,no,EXTREME,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-008,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_d%E2%80%99Ambre_2.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Charles J. Sharp,File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_dAmbre_2.jpg,,,UNKNOWN,mossy leaf-tailed gecko,Uroplatus sikorae,bark,texture;broken silhouette,forest,Montagne d Ambre series alternate angle,Madagascar,land,none,UNKNOWN,low,broken,no,EXTREME,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-009,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_of_stick_insect.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Valemereu,File:Camouflage_of_stick_insect.jpg,,,UNKNOWN,stick insect / cryptic orthopteran,UNKNOWN,branch,texture;broken silhouette,woodland,stick-like crypsis among stems,Italy,land,UNKNOWN,UNKNOWN,low,broken,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
CAND-010,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tawny_Frogmouth_camouflage.jpg,Copyrighted free use (verify),UNKNOWN,C. Coverdale,File:Tawny_Frogmouth_camouflage.jpg,,,UNKNOWN,tawny frogmouth,Podargus strigoides,bark,texture;low-contrast,woodland,bark-matching roost Sydney,Australia,land,none,UNKNOWN,low,UNKNOWN,no,HARD,NOT_STARTED,NOT_CHECKED,CANDIDATE,UNASSIGNED,none,MISSING_LOCAL_FILE; not found outside COD10K; not staged
