inventory_id,candidate_id,filename,full_path,extension,width,height,file_size_bytes,image_sha256,source,source_url,license,creator,animal_common_name,animal_scientific_name,primary_camouflage,secondary_camouflage,environment,hardness_level,hard_negative,mask_status,mask_path,notes
INV-CGPT-001,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_29 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_29 PM.png",.png,1536,1024,4473693,1e67abaaae84290ba676b61fa3a52f0f5811e6a6c9af5ec1bf2306c57c827de1,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-002,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_30 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_30 PM.png",.png,1536,1024,4162825,acaa861feadda91d0e298461d4a6f4a389345499addeff608620527e5ae6079c,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-003,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_32 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_32 PM.png",.png,1536,1024,4003764,3ef2180d1fa2767722fe8043c6909e7b6b220f30ea250bb7186a6159cf697abe,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-004,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_33 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_33 PM.png",.png,1536,1024,3996013,9b525b5369ae0efe8b30d4899e9855e0a07f24bc2d83a7676948a2f849f3cb1d,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-005,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_35 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_35 PM.png",.png,1536,1024,3644264,bf7772e6c45e7aec36ccece9f5a13b39c92f9da9fb9a51e2244c2f44194c1d08,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-006,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_36 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_36 PM.png",.png,1536,1024,3336397,7e18efeb5f8a972c4476e5feee9014ad8974fd0cc6e15c497dab0fac941e7149,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-007,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_37 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_37 PM.png",.png,1536,1024,3399768,8c763b7dad71b03a7f2f3a7876355d9d8e33cdfaf25824cad821770aae523638,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-008,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_39 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_39 PM.png",.png,1536,1024,3387126,fc8f5f89c41a5651d3aeaaeeb84d772e12245aa984536bd9dcf361e1113499cb,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-009,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_40 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_40 PM.png",.png,1536,1024,3242218,2667653bb58a46239b9600681a83e3dc8ece06c81c7f19929b865cbefe2ee794,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
INV-CGPT-010,UNMAPPED,"ChatGPT Image Sep 20, 2026, 09_15_41 PM.png","C:\Users\batka\Downloads\ChatGPT Image Sep 20, 2026, 09_15_41 PM.png",.png,1536,1024,2982590,cf21fd7293b889235cec3bde268a8cddaf53171c027e047f4288707bf16b159e,ChatGPT image export (Downloads),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNCLASSIFIED,NEEDS_ANNOTATION,,LOCATED in Downloads; filename indicates ChatGPT export; NOT matched to CAND-001..044; do not invent CAND mapping; NOT copied to staging/images (not a verified candidate); possible synthetic imagery; research license/provenance unclear
