collection_id,source_type,source_name,source_url,license,license_url,creator,original_id,animal_common_name,animal_scientific_name,primary_camouflage,secondary_camouflage,environment,environment_detail,geographic_region,water_or_land,occlusion,object_scale,contrast_level,silhouette_quality,multiple_animals,hardness_level,collection_status,split,group_id,notes
CAND-001,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Giant_Leaf_Insect_(Phyllium_giganteum)_(8757147425).jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,Bernard DUPONT,File:Giant_Leaf_Insect_(Phyllium_giganteum)_(8757147425).jpg,giant leaf insect,Pulchriphyllium giganteum,foliage,texture;broken silhouette,jungle,Cameron Highlands foliage,Malaysia,land,none,UNKNOWN,low,broken,no,HARD,CANDIDATE,UNASSIGNED,GRP-LEAF-001,Leaf mimicry; Flickr-reviewed CC BY-SA 2.0; manual mask required
CAND-002,open_repository,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Phylliidae,_Leaf_insect_.jpg",CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Renjusplace,"File:Phylliidae,_Leaf_insect_.jpg",leaf insect,UNKNOWN,foliage,texture,forest,Mundakkayam foliage,India,land,UNKNOWN,UNKNOWN,low,broken,no,HARD,CANDIDATE,UNASSIGNED,none,Unidentified Phylliidae; manual mask required
CAND-003,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Butterfly_Camouflage.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,GabrielleMerk,File:Butterfly_Camouflage.jpg,silver-washed fritillary (valesina form),Argynnis paphia,foliage,low-contrast;texture,forest,Ticino forests Muggio Valley,Switzerland,land,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,Documented camouflage butterfly; manual mask required
CAND-004,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:1_camouflaged_frog.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Lambtron,File:1_camouflaged_frog.jpg,frog,UNKNOWN,foliage,low-contrast;texture,pond,pond bank green vegetation,UNKNOWN,land,none,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,Unidentified Anura; green-on-green; dual GFDL/CC-BY-SA; manual mask required
CAND-005,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_of_an_iguana_at_the_Parque_Nacional_do_Pantanal_Matogrossense.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Giovanna Colombi,File:Camouflage_of_an_iguana_at_the_Parque_Nacional_do_Pantanal_Matogrossense.jpg,green iguana,Iguana iguana,foliage,branch;partial occlusion,wetland,iguana among tree branches Pantanal,Brazil,land,partial,UNKNOWN,low,disrupted,no,HARD,CANDIDATE,UNASSIGNED,none,Branch/foliage blend; Wiki Loves Earth; manual mask required
CAND-006,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Fowlers_Toad_-_side_view.jpg,Public Domain (USGS/NBII),https://www.usgs.gov/information-policies-and-instructions/copyrights-and-credits,John J. Mosesso / NBII,NBII-72967 / File:Fowlers_Toad_-_side_view.jpg,Fowler's toad,Anaxyrus fowleri,foliage,texture;low-contrast,woodland,decaying leaf litter,USA,land,none,UNKNOWN,low,UNKNOWN,no,MODERATE,CANDIDATE,UNASSIGNED,none,US federal PD via NBII; leaf-litter crypsis; manual mask required
CAND-007,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_d%E2%80%99Ambre_3.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Charles J. Sharp,File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_dAmbre_3.jpg,mossy leaf-tailed gecko,Uroplatus sikorae,bark,texture;broken silhouette;foliage,forest,Montagne d Ambre mossy bark/dermal flaps,Madagascar,land,none,UNKNOWN,low,broken,no,EXTREME,CANDIDATE,UNASSIGNED,GRP-GECKO-URO-001,Featured/Quality image; series with Ambre_2; manual mask required
CAND-008,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_d%E2%80%99Ambre_2.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Charles J. Sharp,File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae)_Montagne_dAmbre_2.jpg,mossy leaf-tailed gecko,Uroplatus sikorae,bark,texture;broken silhouette,forest,Montagne d Ambre series alternate angle,Madagascar,land,none,UNKNOWN,low,broken,no,EXTREME,CANDIDATE,UNASSIGNED,GRP-GECKO-URO-001,Same session as CAND-007; keep same split later; re-verify license on page; manual mask required
CAND-009,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_of_stick_insect.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Valemereu,File:Camouflage_of_stick_insect.jpg,stick insect / cryptic orthopteran,UNKNOWN,branch,texture;broken silhouette,woodland,stick-like crypsis among stems,Italy,land,UNKNOWN,UNKNOWN,low,broken,no,HARD,CANDIDATE,UNASSIGNED,none,Taxonomy may be Acridinae not Phasmatodea; manual mask required
CAND-010,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tawny_Frogmouth_camouflage.jpg,Copyrighted free use (verify),UNKNOWN,C. Coverdale,File:Tawny_Frogmouth_camouflage.jpg,tawny frogmouth,Podargus strigoides,bark,texture;low-contrast,woodland,bark-matching roost Sydney,Australia,land,none,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,MANUAL_LICENSE_REVIEW: Copyrighted free use tag; incomplete machine-readable source; do not acquire until cleared
CAND-011,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_Lizard.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Ashwin06k,File:Camouflage_Lizard.jpg,lizard,UNKNOWN,rock,texture;low-contrast,rocky terrain,Savanadurga rock substrate,India,land,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,Rock crypsis; species UNKNOWN; manual mask required
CAND-012,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Stonefish_chilling_in_the_sun_in_Egypt.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,SEJanssen,File:Stonefish_chilling_in_the_sun_in_Egypt.jpg,stonefish,Synanceia horrida,rock,underwater;texture,coral reef,sea floor coral reef northern Egypt,Egypt,water,none,UNKNOWN,low,disrupted,no,HARD,CANDIDATE,UNASSIGNED,none,Benthic rock mimic; manual mask required
CAND-013,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Reef_Stonefish_-_Synanceia_verrucosa.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,Francois Libert,File:Reef_Stonefish_-_Synanceia_verrucosa.jpg,reef stonefish,Synanceia verrucosa,rock,underwater;texture;cluttered background,coral reef,Marsa Alam reef substrate,Egypt,water,UNKNOWN,UNKNOWN,low,disrupted,no,HARD,CANDIDATE,UNASSIGNED,none,Flickr-sourced CC BY-SA 2.0; manual mask required
CAND-014,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Reef_Stonefish.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0/,Richard Ling,File:Reef_Stonefish.jpg,reef stonefish,Synanceia verrucosa,rock,underwater;texture,coral reef,Steves Bommie Ribbon Reefs GBR,Australia,water,none,UNKNOWN,low,UNKNOWN,no,MODERATE,CANDIDATE,UNASSIGNED,none,Profile view; review hardness before acquire; manual mask required
CAND-015,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Peacock_Flounder_Bothus_mancus_in_Kona.jpg,CC BY 2.5,https://creativecommons.org/licenses/by/2.5/,Mbz1,File:Peacock_Flounder_Bothus_mancus_in_Kona.jpg,peacock flounder,Bothus mancus,sand/mud,underwater;low-contrast;texture,ocean,Kona sand substrate; buried frame noted by author,Hawaii USA,water,severe,UNKNOWN,very_low,broken,no,EXTREME,CANDIDATE,UNASSIGNED,GRP-FLOUNDER-KONA-001,Multi-frame sequence same fish; near-dup/group risk; prefer hardest buried frame; manual mask required
CAND-016,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sepia_latimanus_(Broadclub_cuttlefish).jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,Nick Hobgood,File:Ascarosepion_latimanus_(Broadclub_cuttlefish).jpg,broadclub cuttlefish,Ascarosepion latimanus,sand/mud,underwater;texture;low-contrast,ocean,sandy seabed color match,East Timor,water,none,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,none,Caption documents sand-matching coloration; manual mask required
CAND-017,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Squatina_squatina_camouflage.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Ben Jobson,iNaturalist observation 216885121 / photo 383613811,angelshark,Squatina squatina,underwater,sand/mud;foliage;low-contrast,seabed,flattened among seagrass/seaweed on sand,UNKNOWN,water,partial,UNKNOWN,low,disrupted,no,HARD,CANDIDATE,UNASSIGNED,none,iNaturalist-reviewed CC BY 4.0; also on GBIF; manual mask required
CAND-018,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Camouflage_octopus.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,alana barthel,File:Camouflage_octopus.jpg,octopus,UNKNOWN,underwater,texture;low-contrast;cluttered background,coral reef,octopus center blending into coral,UNKNOWN,water,none,UNKNOWN,low,disrupted,no,EXTREME,CANDIDATE,UNASSIGNED,none,Author states hard to point out; species UNKNOWN; manual mask required
CAND-019,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Octopus._The_best_camouflage_in_the_world-1.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,Naydionkin Kirill,File:Octopus._The_best_camouflage_in_the_world-1.jpg,octopus,UNKNOWN,underwater,texture;rock,ocean,Red Sea seafloor adaptation series frame 1,Egypt,water,UNKNOWN,UNKNOWN,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,GRP-OCTO-REDSEA-001,Part of multi-frame series; keep group for split; manual mask required
CAND-020,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Graceful_decorator_crab_(Oregonia_gracilis)_with_sponge.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,Ed Bierman,File:Graceful_decorator_crab_(Oregonia_gracilis)_with_sponge.jpg,graceful decorator crab,Oregonia gracilis,underwater,texture;cluttered background;broken silhouette,ocean,decorated with sponge Monterey area,USA California,water,partial,UNKNOWN,low,broken,no,HARD,CANDIDATE,UNASSIGNED,none,Decorator camouflage; manual mask required
CAND-021,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_01.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,F. Lamiot,File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_01.jpg,chameleon prawn,Hippolyte varians,underwater,foliage;texture;low-contrast,ocean,Wimmereux coastal algae association,France,water,UNKNOWN,SMALL,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,GRP-HIPPOLYTE-WIM-001,Series frame a_01; re-verify license on page; companion a_02 same group; manual mask required
CAND-022,open_repository,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_02.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,F. Lamiot,File:Hippolyte_varians_hippolyte_variable_Wimmereux_16_juillet_2016_F_Lamiot_a_02.jpg,chameleon prawn,Hippolyte varians,underwater,foliage;texture,ocean,Wimmereux series alternate frame,France,water,UNKNOWN,SMALL,low,UNKNOWN,no,HARD,CANDIDATE,UNASSIGNED,GRP-HIPPOLYTE-WIM-001,Near-dup of CAND-021; verify license tag before acquire; manual mask required
